Scientificname,Commonname,SIGNAL_art,RL2020kat,Giftsvamp,Nyasvamp-boken,ekologi,Kriteriedokumentation
Genea verrucosa,knottertryffel,,NT,,,,"Bildar mykorrhiza med hassel i mullrik eller lerig jord i ek- och hasselblandskog. Sannolikt kalkgynnad. En fortlöpande minskning misstänks pågå, huvudsakligen p.g.a. att hassellundar avverkats eller omvandlats till granskog. Omfattningen är dock svår att bedöma. Antalet reproduktiva individer skattas till 3000 (300-6000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (60). 2) Bedömt antal unika mycel/lokal (5). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 60 (6-120). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 240 (24-490) kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Beroende på vilka av de skattade värdena som används varierar bedömningen från Nära hotad (NT) till Sårbar (VU). Baserat på de troligaste värdena hamnar arten i kategorin Nära hotad (NT). De skattade värdena för förekomstarea ligger under gränsvärdet för Starkt hotad (EN). Detta i kombination med att fortgående minskning förekommer gör att arten uppfyller kriterierna för kategorin Nära hotad (NT). Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten rödlistas som Nära hotad (NT). (B2b(iii), C2a(i))."
Hygrophorus atramentosus,streckvaxskivling,,VU,,,,"Bildar mykorrhiza med tall och gran på kalk- och örtrik mark i äldre barrblandskog, huvudsakligen ängsgranskog. Total population i landet bedöms ha minskat kraftigt och fortgående att minska, huvudsakligen p.g.a. slutavverkningar och en minskning av arealen örtrik äldre granskog som inte utsatts för kalavverkning de senaste 50 åren. Antalet reproduktiva individer skattas till 2000 (400-4000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (100). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 100 (20-200). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 400 kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Minskningstakten uppgår till 30 % inom 50 år. Den minskande trenden har pågått en tid och bedöms fortsätta. Bedömningen baseras på minskad geografisk utbredning och/eller försämrad habitatkvalitet. De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Sårbar (VU). Minskningstakten överstiger gränsvärdet för Sårbar (VU) enligt A-kriteriet. Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten hamnar i kategorin Sårbar (VU). (A2c+3c+4c, C2a(i))."
Cortinarius melanotus,mörkfjällig olivspindling,,VU,,,,"Bildar mykorrhiza med tall i kalkrik tallskog. Sällsynt även påträffad i ädellövskog på kalkrik torr mark och då sannolikt med ek eller bok. Total population i landet liten och bedöms ha minskat och fortsätta att minska p.g.a. avverkningar av äldre kalktallskogar. Antalet reproduktiva individer skattas till 1500 (300-3000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (75). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 75 (15-150). Utbredningsområdets storlek (EOO) skattas till 15000 (8000-15000) kmÂ² och förekomstarean (AOO) till 300 (60-300) kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Minskningstakten har uppgått till 30 % under de senaste 50 åren. Under de kommande 50 åren förväntas minskningstakten uppgå till 15 %. Under en tidsperiod om 50 år, som sträcker sig både bakåt och framåt i tiden, så bedöms minskningstakten uppgå till 15 %. Bedömningen baseras på minskad geografisk utbredning och/eller försämrad habitatkvalitet. De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Sårbar (VU). Minskningstakten överstiger gränsvärdet för Sårbar (VU) enligt A-kriteriet. Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten hamnar i kategorin Sårbar (VU). (A2c, C2a(i))."
Scleroderma septentrionale,sandrottryffel,,NT,,,,"Bildar mykorrhiza med tall, ev också krypvide. Främst på kustnära sanddyner med lågt pH, ofta utlakade och med kråkbär, ärttryffel etc. Finns förmodligen på flertalet sandstränder upp till Haparanda men mörkertal ännu stort. Verkar ha sitt europeiska utbredningscentrum i Skandinavien. Väl känd ekologi, framförallt gamla betesmarker och störda landhöjningsstränder som inte får växa igen. Artens potentiella lämpliga miljöer bedöms ha minskat och fortsatt komma att minska p.g.a. igenväxning av betesmarker samt exploatering av stränder. Antalet reproduktiva individer skattas till 15000 (1000-30000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (750). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 750 (50-1500). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 1500 kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Minskningstakten uppgår till 15 % inom 50 år. Den minskande trenden har pågått en tid och bedöms fortsätta. Bedömningen baseras på minskad geografisk utbredning och/eller försämrad habitatkvalitet. De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Nära hotad (NT). Minskningstakten för den svenska populationen bedöms vara nära gränsvärdet för Sårbar (VU). (A2c+3c+4c)."
Hydnellum rufoconcrescens nom.prov.,rödfläckig zontaggsvamp,S,NE,,,,
Cortinarius croceocaeruleus,juvelspindling,,NT,,,,"Bildar mykorrhiza med främst ek och bok, men sällsynt även med hassel och lind i ängsbokskog, ek-hassellund, löväng och lågskogar av hassel (hässlen). Sällsynt och total population i landet bedöms som liten och missgynnad av avverkning av artens värdträd samt upphörd hävd och småskalig störning i ädellövsrika fodermarker. Ingen nyetablering tycks ske i yngre skogar vilket indikerar att arten har svårt att sprida sig till nya lokaler. Antalet reproduktiva individer skattas till 12500 (500-25000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (250). 2) Bedömt antal unika mycel/lokal (5). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 250 (25-500). Förekomstarean (AOO) skattas till 1000 (120-1000) kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Minskningstakten har uppgått till 15 % under de senaste 50 åren. Bedömningen baseras på minskad geografisk utbredning och/eller försämrad habitatkvalitet. Beroende på vilka av de skattade värdena som används varierar bedömningen från Nära hotad (NT) till Starkt hotad (EN). Baserat på de troligaste värdena hamnar arten i kategorin Nära hotad (NT). Minskningstakten för den svenska populationen bedöms vara nära gränsvärdet för Sårbar (VU). Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten rödlistas som Nära hotad (NT). (A2c, C2a(i))."
Hydnellum cumulatum,knölig taggsvamp,,EN,,,,"Bildar mykorrhiza med gran i äldre kalkbarrskog. Där arten påträffas finns ofta ett flertal andra rödlistade marksvampar. Ett 20-tal aktuella lokaler är kända. Uppenbarligen en sällsynt art med liten population i landet. Total population i landet bedöms ha minskat och fortsätta att minska, främst p.g.a. avverkningar av äldre kalkbarrskog. Har uppenbart svårt att återetableras efter kalavverkning. Antalet reproduktiva individer skattas till 1500 (400-3000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (75). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 75 (25-150). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 400 kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Minskningstakten uppgår till 30 % inom 50 år. Den minskande trenden har pågått en tid och bedöms fortsätta. Bedömningen baseras på minskad geografisk utbredning och/eller försämrad habitatkvalitet. Beroende på vilka av de skattade värdena som används varierar bedömningen från Sårbar (VU) till Starkt hotad (EN). Baserat på de troligaste värdena hamnar arten i kategorin Starkt hotad (EN). Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten hamnar i kategorin Starkt hotad (EN). (C2a(i))."
Lactarius mairei,borstriska,,VU,,,,"Bildar mykorrhiza med ek i ek- och hasselblandskog samt hagmark och löväng på kalkrik mark. En värmekrävande, exklusiv art som är lätt att känna igen. Arten är i Sverige känd från Ã–land, Gotland och en lokal i Skåne. Liten population och förekomstarea samt mycket få mycel på varje känd lokal. En fortlöpande minskning bedöms pågå p.g.a. igenväxning, beskuggning och försämrat lokalklimat i ädellövsrika fodermarker. Omfattningen är dock svår att bedöma. Antalet reproduktiva individer skattas till 2000 (440-4000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (100). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 100 (22-200). Utbredningsområdets storlek (EOO) skattas till 20000 (18240-20000) kmÂ² och förekomstarean (AOO) till 400 (96-400) kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Sårbar (VU). Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten hamnar i kategorin Sårbar (VU). (C2a(i))."
Cortinarius prasinus,grönkantad spindling,,EN,,,,"Bildar mykorrhiza med ek i ädellövskog, ädellövsbryn och löväng på kalkrik mark. Ã„r endast känd från Ã–land, Gotland och Västergötland. Total population i landet är liten och utbredningsområdet begränsat. Bedöms ha minskat och fortlöpande att minska p.g.a. avverkning av värdträd samt försämrad hävd, igenväxning och förtätning i ädellövbärande fodermarker. Antalet reproduktiva individer skattas till 2000 (480-4000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (100). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 100 (28-200). Utbredningsområdets storlek (EOO) skattas till 30000 kmÂ² och förekomstarean (AOO) till 300 (120-300) kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Beroende på vilka av de skattade värdena som används varierar bedömningen från Sårbar (VU) till Starkt hotad (EN). Baserat på de troligaste värdena hamnar arten i kategorin Starkt hotad (EN). Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten hamnar i kategorin Starkt hotad (EN). (C2a(i))."
Cortinarius pseudoarcuatorum,narrspindling,,VU,,,,"Bildar mykorrhiza med tall på kalkrik mark i luckig kalktallskog. Det första svenska fyndet är från en skogsbetad tallskog på Gotland (2000). Arten beskrevs 1988. Eftersökt och känd från ett tiotal lokaler i landet, samtliga på Gotland. Total population i landet bedöms ha minskat och fortsätter att minska, huvudsakligen p.g.a. slutavverkningar av äldre barrskog och försämrad habitatkvalitet, bl.a. genom förtätningar i skogsbestånd vid upphört skogsbete. Har uppenbart svårt att återetableras efter avverkning. Antalet reproduktiva individer skattas till 1000 (200-2000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (25). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 50 (10-100). Utbredningsområdets storlek (EOO) skattas till 5000 (1600-5000) kmÂ² och förekomstarean (AOO) till 200 (48-200) kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Beroende på vilka av de skattade värdena som används varierar bedömningen från Sårbar (VU) till Starkt hotad (EN). Baserat på de troligaste värdena hamnar arten i kategorin Sårbar (VU). Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten hamnar i kategorin Sårbar (VU). (C2a(i))."
Russula curtipes,kortfotkremla,,NT,,,,"Bildar mykorrhiza med bok, främst i ängsbokskog på kalkrik mark. Väl eftersökt art knuten till skogar med höga naturvärden. Total population i landet liten och med få mycel på varje lokal. Svårt att bedöma ev. populationsförändring. Antalet reproduktiva individer skattas till 1800 (720-3600). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (90). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 90 (36-180). Utbredningsområdets storlek (EOO) skattas till 20000 (19040-20000) kmÂ² och förekomstarean (AOO) till 300 (172-300) kmÂ². Beroende på vilka av de skattade värdena som används varierar bedömningen från Livskraftig (LC) till Sårbar (VU). Baserat på de troligaste värdena hamnar arten i kategorin Nära hotad (NT). Antalet individer bedöms överstiga gränsvärdet för Sårbar (VU) enligt D-kriteriet. (D1)."
Cortinarius prasinocyaneus,beryllspindling,,EN,,,,"Bildar mykorrhiza med hassel och ev. även andra ädellövträd på kalkrik mark. Växer i löväng och torra hässlen, främst i bryn och varma lägen i extensivt betade mosaikmiljöer. En vacker och eftersökt spindling knuten till exklusiva miljöer som bedöms ha lågt mörkertal. Mycket liten population i landet och missgynnad av att dess växtmiljöer är känsliga för såväl igenväxning som för hårda utglesningar i samband med restaureringar av betesmark. Rätt utförd skötsel och restaurering av ädellövsrika fodermarker och hässlen gynnar arten. Antalet reproduktiva individer skattas till 600 (120-1200). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (30). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 30 (6-60). Utbredningsområdets storlek (EOO) skattas till 30000 (25756-30000) kmÂ² och förekomstarean (AOO) till 120 (60-120) kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Minskningstakten uppgår till 30 % inom 50 år. Den minskande trenden har pågått en tid och bedöms fortsätta. Bedömningen baseras på minskad geografisk utbredning och/eller försämrad habitatkvalitet. De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Starkt hotad (EN). Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten hamnar i kategorin Starkt hotad (EN). (C2a(i))."
Cortinarius pseudovulpinus,liten rävspindling,,EN,,,,Bildar mykorrhiza med avenbok och hassel i ädellövskog och hässlen på kalkrik mark. Enbart på exklusiva lokaler med många andra rödlistade arter. Total population i landet är liten och bedöms ha minskat och fortlöpande minska p.g.a. såväl avverkningar som igenväxning av solvarma öppna och halvöppna i tidigare betade ädellövskogar. Antalet reproduktiva individer skattas till 2000 (400-4000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (50). 2) Bedömt antal unika mycel/lokal (4). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 50 (10-100). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 200 (70-200) kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Beroende på vilka av de skattade värdena som används varierar bedömningen från Sårbar (VU) till Starkt hotad (EN). Baserat på de troligaste värdena hamnar arten i kategorin Starkt hotad (EN). Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten hamnar i kategorin Starkt hotad (EN). (C2a(i)).
Albatrellus cristatus,grönticka,,EN,,,,"Bildar mykorrhiza med bok (sällsynt troligen även ek) i äldre fattig hedbokskog men i Skåne även funnen i bokskog med kalkrika ytor. En värmeälskande med nemoral utbredning som är lätt igenkänd och väl eftersökt. Uppenbarligen mycket sällsynt art med liten population i landet. Naturvårdsverkets åtgärdsprogram för grönticka 2008-2012 har resulterat i en ökad kännedom och uppmärksamhet kring arten, dess ekologi och förekomster. Bedömningen av artens status är därmed god och aktuell. Svårt att bedöma ev. minskning på grund av artens få lokaler i landet. Antalet reproduktiva individer skattas till 240 (200-400). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (12). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 12 (10-20). Utbredningsområdets storlek (EOO) skattas till 4000 kmÂ² och förekomstarean (AOO) till 40 kmÂ². Beroende på vilka av de skattade värdena som används varierar bedömningen från Sårbar (VU) till Starkt hotad (EN). Baserat på de troligaste värdena hamnar arten i kategorin Starkt hotad (EN). Antalet individer bedöms vara lägre än gränsvärdet för Starkt hotad (EN) enligt D-kriteriet. (D)."
Cortinarius russus,rostspindling,,VU,,,,"Bildar mykorrhiza med gran, i äldre ängsgranskog på kalkrik och näringsrik, något fuktig mark. Total population i landet bedöms ha minskat och fortsatt minska, huvudsakligen p.g.a. slutavverkning av kontinuitetsskogar. Har uppenbart svårt att återetableras efter avverkning. Antalet reproduktiva individer skattas till 7500 (1500-15000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (250). 2) Bedömt antal unika mycel/lokal (3). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 250 (50-500). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 800 (200-800) kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Minskningstakten uppgår till 30 % inom 50 år. Den minskande trenden har pågått en tid och bedöms fortsätta. Bedömningen baseras på minskad geografisk utbredning och/eller försämrad habitatkvalitet. De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Sårbar (VU). Minskningstakten överstiger gränsvärdet för Sårbar (VU) enligt A-kriteriet. Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten hamnar i kategorin Sårbar (VU). (A2c+3c+4c, C2a(i))."
Hydnellum lepidum,mjöltaggsvamp,,VU,,,,"Bildar mykorrhiza med bok och mer sällsynt ek på mullrik mark. Svagt kalkgynnad men kan också växa på till synes magrare mark i varma klimatlägen. Känd från främst sydvästra delarna av landet. Den totala populationen i landet är liten. Eventuell populationsförändring är svår att bedöma pga få fynd men missgynnas av försämringar i habitatkvaliteÃ©r genom avverkningar eller igenväxning. Artens fortlevnadsmöjligheter blir förhoppningsvis förbättrad genom  Naturvårdsverkets åtgärdsprogram för fjälltaggsvampar som sedan 2006 resulterat i ökad kännedom och uppmärksamhet kring arten, dess ekologi och förekomster. Antalet reproduktiva individer skattas till 900 (340-1800). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (45). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 45 (17-90). Förekomstarean (AOO) skattas till 180 (72-360) kmÂ². Beroende på vilka av de skattade värdena som används varierar bedömningen från Nära hotad (NT) till Sårbar (VU). Baserat på de troligaste värdena hamnar arten i kategorin Sårbar (VU). Antalet individer bedöms vara lägre än gränsvärdet för Sårbar (VU) enligt D-kriteriet. (D1)."
Elaphomyces maculatus,slät hjorttryffel,,EN,,,,"Bildar mykorrhiza med hassel i ädellövskog och hassellund med glest fältskikt, på sandig mulljord. Bildar underjordiska fruktkroppar och är knuten till mycket exklusiva miljöer, där svampen också har eftersökts. Arten tillhör en grupp av organismer som är beroende av lång kontinuitet av tät ädellövskog. Populationen är mycket liten och bedöms missgynnad av såväl avverkning av värdträd som förtätning och igenväxning av dess habitat. Antalet reproduktiva individer skattas till 400 (100-800). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (20). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 20 (5-40). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 100 (20-100) kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Minskningstakten har uppgått till 15 % under de senaste 50 åren. De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Starkt hotad (EN). Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten hamnar i kategorin Starkt hotad (EN). (C2a(i))."
Lactarius olivinus,olivinriska,,NT,,,,"Bildar mykorrhiza med gran, i gran- och blandskog på fuktig, rikare mark. Total population i landet bedöms ha minskat och fortgående att minska, huvudsakligen p.g.a. minskad areal äldre, tidigare inte kalavverkad skog och äldre bestånd på landskapsnivå. Antalet reproduktiva individer skattas till 15000 (1500-30000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (300). 2) Bedömt antal unika mycel/lokal (5). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 300 (30-600). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 1200 kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Minskningstakten uppgår till 15 % inom 50 år. Den minskande trenden har pågått en tid och bedöms fortsätta. Bedömningen baseras på minskad geografisk utbredning och/eller försämrad habitatkvalitet. De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Nära hotad (NT). Minskningstakten för den svenska populationen bedöms vara nära gränsvärdet för Sårbar (VU). (A2c+3c+4c)."
Ramaria spinulosa,sydlig taggfingersvamp,,VU,,,,"Bildar mykorrhiza med bok i äldre kalkbokskog och i enstaka fall även med ek eller lind. Det finns för få fynd av R. spinulosa s.str. i landet för att bedöma ev. populationsförändringar, men det är uppenbart en mycket sällsynt art med liten population. Molekylära och morfologiska studier har visat att R. spinulosa s.lat. rör sig om två separata arter med olika ekologi. R. spinulosa s.str. förekommer i bok- och ädellövskog och R. karstenii i barrskog. Antalet reproduktiva individer skattas till 800 (200-1600). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (40). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 40 (10-80). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 120 (12-240) kmÂ². Beroende på vilka av de skattade värdena som används varierar bedömningen från Nära hotad (NT) till Starkt hotad (EN). Baserat på de troligaste värdena hamnar arten i kategorin Sårbar (VU). Antalet individer bedöms vara lägre än gränsvärdet för Sårbar (VU) enligt D-kriteriet. (D1)."
Hygrophorus purpurascens,slöjvaxskivling,,EN,,,,"Bildar mykorrhiza med gran, ev. även med tall i barrskog, helst ängsgranskog. Troligen ej kalkbunden. Delvis förbisedd p.g.a. förväxling med H. erubescens. Total population i landet bedöms ha minskat kraftigt och fortgående att minska, huvudsakligen p.g.a. att arealen äldre barrskog som inte utsatts för slutavverkning har minskat kraftigt de senaste 50 åren. Antalet reproduktiva individer skattas till 2000 (400-4000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (100). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 100 (20-200). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 400 kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Minskningstakten har uppgått till 50 % under de senaste 50 åren. Under de kommande 50 åren förväntas minskningstakten uppgå till 30 %. Under en tidsperiod om 50 år, som sträcker sig både bakåt och framåt i tiden, så bedöms minskningstakten uppgå till 30 %. Bedömningen baseras på minskad geografisk utbredning och/eller försämrad habitatkvalitet. De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Starkt hotad (EN). Minskningstakten överstiger gränsvärdet för Starkt hotad (EN) enligt A-kriteriet. Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten hamnar i kategorin Starkt hotad (EN). (A2c, C2a(i))."
Phylloporus pelletieri,skivsopp,,EN,,,,"Bildar mykorrhiza med bok i ängsbokskog, mer sällan i annan lövskog, på sandblandad jord. En sydlig, värmekrävande lövskogsart med aktuella lokaler endast i Skåne. En iögonfallande och lätt identifierbar art som lever i en väl genomsökt miljö. Total population i landet liten och med få mycel på varje lokal. Arten hittas alltmer sällan men orsaken bakom det minskade uppträdet är oklar. Vissa lokaler är påverkade av avverkning medan andra är till synes intakta. Antalet reproduktiva individer skattas till 1000 (300-2000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (50). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 50 (15-100). Utbredningsområdets storlek (EOO) skattas till 4000 (3780-4000) kmÂ² och förekomstarean (AOO) till 200 (76-400) kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Starkt hotad (EN). Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten hamnar i kategorin Starkt hotad (EN). (C2a(i))."
Russula torulosa,sandkremla,,NT,,,,"Bildar mykorrhiza med tall, i tallskog på sanddyner och tallhedar på kalkrik mark. Knuten till en väl avgränsad och väl genomsökt miljö och växer huvudsakligen i äldre skogsbestånd. Total population i landet bedöms fortgående att minska p.g.a. avverkning av äldre kalktallskog. Minskningstakten är dock svår att bedöma. Antalet reproduktiva individer skattas till 4000 (500-8000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (200). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 200 (25-400). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 800 kmÂ². En minskning av populationen pågår eller förväntas ske. Beroende på vilka av de skattade värdena som används varierar bedömningen från Nära hotad (NT) till Sårbar (VU). Baserat på de troligaste värdena hamnar arten i kategorin Nära hotad (NT). Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten rödlistas som Nära hotad (NT). (C2a(i))."
